,Topics,Alpha,Beta,Chunks,Coherence
0,3,0.15,0.15,20.0,
1,3,0.15,0.15,40.0,
2,3,0.15,0.15,60.0,
3,3,0.15,0.15,80.0,
4,3,0.15,0.15,100.0,
5,3,0.15,0.44999999999999996,20.0,
6,3,0.15,0.44999999999999996,40.0,
7,3,0.15,0.44999999999999996,60.0,
8,3,0.15,0.44999999999999996,80.0,
9,3,0.15,0.44999999999999996,100.0,
10,3,0.15,0.7499999999999999,20.0,
11,3,0.15,0.7499999999999999,40.0,
12,3,0.15,0.7499999999999999,60.0,
13,3,0.15,0.7499999999999999,80.0,
14,3,0.15,0.7499999999999999,100.0,
15,3,0.15,symmetric,20.0,
16,3,0.15,symmetric,40.0,
17,3,0.15,symmetric,60.0,
18,3,0.15,symmetric,80.0,
19,3,0.15,symmetric,100.0,
20,3,0.44999999999999996,0.15,20.0,
21,3,0.44999999999999996,0.15,40.0,
22,3,0.44999999999999996,0.15,60.0,
23,3,0.44999999999999996,0.15,80.0,
24,3,0.44999999999999996,0.15,100.0,
25,3,0.44999999999999996,0.44999999999999996,20.0,
26,3,0.44999999999999996,0.44999999999999996,40.0,
27,3,0.44999999999999996,0.44999999999999996,60.0,
28,3,0.44999999999999996,0.44999999999999996,80.0,
29,3,0.44999999999999996,0.44999999999999996,100.0,
30,3,0.44999999999999996,0.7499999999999999,20.0,
31,3,0.44999999999999996,0.7499999999999999,40.0,
32,3,0.44999999999999996,0.7499999999999999,60.0,
33,3,0.44999999999999996,0.7499999999999999,80.0,
34,3,0.44999999999999996,0.7499999999999999,100.0,
35,3,0.44999999999999996,symmetric,20.0,
36,3,0.44999999999999996,symmetric,40.0,
37,3,0.44999999999999996,symmetric,60.0,
38,3,0.44999999999999996,symmetric,80.0,
39,3,0.44999999999999996,symmetric,100.0,
40,3,0.7499999999999999,0.15,20.0,
41,3,0.7499999999999999,0.15,40.0,
42,3,0.7499999999999999,0.15,60.0,
43,3,0.7499999999999999,0.15,80.0,
44,3,0.7499999999999999,0.15,100.0,
45,3,0.7499999999999999,0.44999999999999996,20.0,
46,3,0.7499999999999999,0.44999999999999996,40.0,
47,3,0.7499999999999999,0.44999999999999996,60.0,
48,3,0.7499999999999999,0.44999999999999996,80.0,
49,3,0.7499999999999999,0.44999999999999996,100.0,
50,3,0.7499999999999999,0.7499999999999999,20.0,0.35252223936449606
51,3,0.7499999999999999,0.7499999999999999,40.0,
52,3,0.7499999999999999,0.7499999999999999,60.0,
53,3,0.7499999999999999,0.7499999999999999,80.0,0.32590828595994276
54,3,0.7499999999999999,0.7499999999999999,100.0,
55,3,0.7499999999999999,symmetric,20.0,
56,3,0.7499999999999999,symmetric,40.0,
57,3,0.7499999999999999,symmetric,60.0,
58,3,0.7499999999999999,symmetric,80.0,
59,3,0.7499999999999999,symmetric,100.0,
60,3,symmetric,0.15,20.0,
61,3,symmetric,0.15,40.0,
62,3,symmetric,0.15,60.0,
63,3,symmetric,0.15,80.0,
64,3,symmetric,0.15,100.0,
65,3,symmetric,0.44999999999999996,20.0,
66,3,symmetric,0.44999999999999996,40.0,
67,3,symmetric,0.44999999999999996,60.0,
68,3,symmetric,0.44999999999999996,80.0,
69,3,symmetric,0.44999999999999996,100.0,
70,3,symmetric,0.7499999999999999,20.0,
71,3,symmetric,0.7499999999999999,40.0,
72,3,symmetric,0.7499999999999999,60.0,
73,3,symmetric,0.7499999999999999,80.0,
74,3,symmetric,0.7499999999999999,100.0,
75,3,symmetric,symmetric,20.0,
76,3,symmetric,symmetric,40.0,
77,3,symmetric,symmetric,60.0,
78,3,symmetric,symmetric,80.0,
79,3,symmetric,symmetric,100.0,
80,3,asymmetric,0.15,20.0,
81,3,asymmetric,0.15,40.0,
82,3,asymmetric,0.15,60.0,
83,3,asymmetric,0.15,80.0,
84,3,asymmetric,0.15,100.0,
85,3,asymmetric,0.44999999999999996,20.0,
86,3,asymmetric,0.44999999999999996,40.0,
87,3,asymmetric,0.44999999999999996,60.0,
88,3,asymmetric,0.44999999999999996,80.0,
89,3,asymmetric,0.44999999999999996,100.0,
90,3,asymmetric,0.7499999999999999,20.0,
91,3,asymmetric,0.7499999999999999,40.0,0.3684413925858892
92,3,asymmetric,0.7499999999999999,60.0,
93,3,asymmetric,0.7499999999999999,80.0,0.3239642179842656
94,3,asymmetric,0.7499999999999999,100.0,
95,3,asymmetric,symmetric,20.0,
96,3,asymmetric,symmetric,40.0,
97,3,asymmetric,symmetric,60.0,
98,3,asymmetric,symmetric,80.0,
99,3,asymmetric,symmetric,100.0,
100,4,0.15,0.15,20.0,
101,4,0.15,0.15,40.0,
102,4,0.15,0.15,60.0,
103,4,0.15,0.15,80.0,
104,4,0.15,0.15,100.0,
105,4,0.15,0.44999999999999996,20.0,
106,4,0.15,0.44999999999999996,40.0,
107,4,0.15,0.44999999999999996,60.0,
108,4,0.15,0.44999999999999996,80.0,
109,4,0.15,0.44999999999999996,100.0,
110,4,0.15,0.7499999999999999,20.0,
111,4,0.15,0.7499999999999999,40.0,0.34208846338603516
112,4,0.15,0.7499999999999999,60.0,
113,4,0.15,0.7499999999999999,80.0,
